STATE__,numeric
BGN_DATE,character
BGN_TIME,character
TIME_ZONE,character
COUNTY,numeric
COUNTYNAME,character
STATE,character
EVTYPE,character
BGN_RANGE,numeric
BGN_AZI,character
BGN_LOCATI,character
END_DATE,character
END_TIME,character
COUNTY_END,numeric
COUNTYENDN,logical
END_RANGE,numeric
END_AZI,character
END_LOCATI,character
LENGTH,numeric
WIDTH,numeric
F,integer
MAG,numeric
FATALITIES,numeric
INJURIES,numeric
PROPDMG,numeric
PROPDMGEXP,character
CROPDMG,numeric
CROPDMGEXP,character
WFO,character
STATEOFFIC,character
ZONENAMES,character
LATITUDE,numeric
LONGITUDE,numeric
LATITUDE_E,numeric
LONGITUDE_,numeric
REMARKS,character
REFNUM,numeric
